Unnamed: 0	enumeration	enumeration_description
in.county_and_puma	"G0800350, G08000821"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 035, the NHGIS PUMA code is 00821"
in.county_and_puma	"G0800350, G08000822"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 035, the NHGIS PUMA code is 00822"
in.county_and_puma	"G0800350, G08000823"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 035, the NHGIS PUMA code is 00823"
in.county_and_puma	"G0800370, G08000400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 037, the NHGIS PUMA code is 00400"
in.county_and_puma	"G0800390, G08000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 039, the NHGIS PUMA code is 00100"
in.county_and_puma	"G0800390, G08000823"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 039, the NHGIS PUMA code is 00823"
in.county_and_puma	"G0800410, G08004101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 041, the NHGIS PUMA code is 04101"
in.county_and_puma	"G0800410, G08004102"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 041, the NHGIS PUMA code is 04102"
in.county_and_puma	"G0800410, G08004103"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 041, the NHGIS PUMA code is 04103"
in.county_and_puma	"G0800410, G08004104"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 041, the NHGIS PUMA code is 04104"
in.county_and_puma	"G0800410, G08004105"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 041, the NHGIS PUMA code is 04105"
in.county_and_puma	"G0800410, G08004106"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 041, the NHGIS PUMA code is 04106"
in.county_and_puma	"G0800430, G08000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 043, the NHGIS PUMA code is 00600"
in.county_and_puma	"G0800450, G08000200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 045, the NHGIS PUMA code is 00200"
in.county_and_puma	"G0800470, G08000801"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 047, the NHGIS PUMA code is 00801"
in.county_and_puma	"G0800490, G08000400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 049, the NHGIS PUMA code is 00400"
in.county_and_puma	"G0800510, G08000900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 051, the NHGIS PUMA code is 00900"
in.county_and_puma	"G0800530, G08000900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 053, the NHGIS PUMA code is 00900"
in.county_and_puma	"G0800550, G08000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 055, the NHGIS PUMA code is 00600"
in.county_and_puma	"G0800570, G08000400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 057, the NHGIS PUMA code is 00400"
in.county_and_puma	"G0800590, G08000801"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 059, the NHGIS PUMA code is 00801"
in.county_and_puma	"G0800590, G08000804"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 059, the NHGIS PUMA code is 00804"
in.county_and_puma	"G0800590, G08000805"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 059, the NHGIS PUMA code is 00805"
in.county_and_puma	"G0800590, G08000817"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 059, the NHGIS PUMA code is 00817"
in.county_and_puma	"G0800590, G08000818"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 059, the NHGIS PUMA code is 00818"
in.county_and_puma	"G0800590, G08000819"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 059, the NHGIS PUMA code is 00819"
in.county_and_puma	"G0800590, G08000820"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 059, the NHGIS PUMA code is 00820"
in.county_and_puma	"G0800590, G08000821"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 059, the NHGIS PUMA code is 00821"
in.county_and_puma	"G0800610, G08000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 061, the NHGIS PUMA code is 00100"
in.county_and_puma	"G0800630, G08000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 063, the NHGIS PUMA code is 00100"
in.county_and_puma	"G0800650, G08000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 065, the NHGIS PUMA code is 00600"
in.county_and_puma	"G0800670, G08000900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 067, the NHGIS PUMA code is 00900"
in.county_and_puma	"G0800690, G08000102"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 069, the NHGIS PUMA code is 00102"
in.county_and_puma	"G0800690, G08000103"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 069, the NHGIS PUMA code is 00103"
in.county_and_puma	"G0800710, G08000800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 071, the NHGIS PUMA code is 00800"
in.county_and_puma	"G0800730, G08000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 073, the NHGIS PUMA code is 00100"
in.county_and_puma	"G0800750, G08000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 075, the NHGIS PUMA code is 00100"
in.county_and_puma	"G0800770, G08001001"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 077, the NHGIS PUMA code is 01001"
in.county_and_puma	"G0800770, G08001002"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 077, the NHGIS PUMA code is 01002"
in.county_and_puma	"G0800790, G08000800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 079, the NHGIS PUMA code is 00800"
in.county_and_puma	"G0800810, G08000200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 081, the NHGIS PUMA code is 00200"
in.county_and_puma	"G0800830, G08000900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 083, the NHGIS PUMA code is 00900"
in.county_and_puma	"G0800850, G08001002"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 085, the NHGIS PUMA code is 01002"
in.county_and_puma	"G0800870, G08000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 087, the NHGIS PUMA code is 00100"
in.county_and_puma	"G0800890, G08000800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 089, the NHGIS PUMA code is 00800"
in.county_and_puma	"G0800910, G08001002"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 091, the NHGIS PUMA code is 01002"
in.county_and_puma	"G0800930, G08000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 093, the NHGIS PUMA code is 00600"
in.county_and_puma	"G0800950, G08000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 095, the NHGIS PUMA code is 00100"
in.county_and_puma	"G0800970, G08000400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 097, the NHGIS PUMA code is 00400"
in.county_and_puma	"G0800990, G08000800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 099, the NHGIS PUMA code is 00800"
in.county_and_puma	"G0801010, G08000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 101, the NHGIS PUMA code is 00600"
in.county_and_puma	"G0801010, G08000700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 101, the NHGIS PUMA code is 00700"
in.county_and_puma	"G0801010, G08000800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 101, the NHGIS PUMA code is 00800"
in.county_and_puma	"G0801030, G08000200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 103, the NHGIS PUMA code is 00200"
in.county_and_puma	"G0801050, G08000800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 105, the NHGIS PUMA code is 00800"
in.county_and_puma	"G0801070, G08000200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 107, the NHGIS PUMA code is 00200"
in.county_and_puma	"G0801090, G08000800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 109, the NHGIS PUMA code is 00800"
in.county_and_puma	"G0801110, G08000900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 111, the NHGIS PUMA code is 00900"
in.county_and_puma	"G0801130, G08001002"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 113, the NHGIS PUMA code is 01002"
in.county_and_puma	"G0801150, G08000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 115, the NHGIS PUMA code is 00100"
in.county_and_puma	"G0801170, G08000400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 117, the NHGIS PUMA code is 00400"
in.county_and_puma	"G0801190, G08004101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 119, the NHGIS PUMA code is 04101"
in.county_and_puma	"G0801210, G08000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 121, the NHGIS PUMA code is 00100"
in.county_and_puma	"G0801230, G08000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 123, the NHGIS PUMA code is 00100"
in.county_and_puma	"G0801230, G08000300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 123, the NHGIS PUMA code is 00300"
in.county_and_puma	"G0801230, G08000802"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 123, the NHGIS PUMA code is 00802"
in.county_and_puma	"G0801230, G08000824"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 123, the NHGIS PUMA code is 00824"
in.county_and_puma	"G0801250, G08000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 08, the NHGIS county code is 125, the NHGIS PUMA code is 00100"
in.county_and_puma	"G0900010, G09000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 001, the NHGIS PUMA code is 00100"
in.county_and_puma	"G0900010, G09000101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 001, the NHGIS PUMA code is 00101"
in.county_and_puma	"G0900010, G09000102"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 001, the NHGIS PUMA code is 00102"
in.county_and_puma	"G0900010, G09000103"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 001, the NHGIS PUMA code is 00103"
in.county_and_puma	"G0900010, G09000104"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 001, the NHGIS PUMA code is 00104"
in.county_and_puma	"G0900010, G09000105"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 001, the NHGIS PUMA code is 00105"
in.county_and_puma	"G0900030, G09000300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 003, the NHGIS PUMA code is 00300"
in.county_and_puma	"G0900030, G09000301"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 003, the NHGIS PUMA code is 00301"
in.county_and_puma	"G0900030, G09000302"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 003, the NHGIS PUMA code is 00302"
in.county_and_puma	"G0900030, G09000303"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 003, the NHGIS PUMA code is 00303"
in.county_and_puma	"G0900030, G09000304"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 003, the NHGIS PUMA code is 00304"
in.county_and_puma	"G0900030, G09000305"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 003, the NHGIS PUMA code is 00305"
in.county_and_puma	"G0900030, G09000306"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 003, the NHGIS PUMA code is 00306"
in.county_and_puma	"G0900050, G09000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 005, the NHGIS PUMA code is 00500"
in.county_and_puma	"G0900070, G09000700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 007, the NHGIS PUMA code is 00700"
in.county_and_puma	"G0900090, G09000900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 009, the NHGIS PUMA code is 00900"
in.county_and_puma	"G0900090, G09000901"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 009, the NHGIS PUMA code is 00901"
in.county_and_puma	"G0900090, G09000902"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 009, the NHGIS PUMA code is 00902"
in.county_and_puma	"G0900090, G09000903"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 009, the NHGIS PUMA code is 00903"
in.county_and_puma	"G0900090, G09000904"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 009, the NHGIS PUMA code is 00904"
in.county_and_puma	"G0900090, G09000905"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 009, the NHGIS PUMA code is 00905"
in.county_and_puma	"G0900090, G09000906"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 009, the NHGIS PUMA code is 00906"
in.county_and_puma	"G0900110, G09001100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 011, the NHGIS PUMA code is 01100"
in.county_and_puma	"G0900110, G09001101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 011, the NHGIS PUMA code is 01101"
in.county_and_puma	"G0900130, G09001300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 013, the NHGIS PUMA code is 01300"
in.county_and_puma	"G0900150, G09001500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 09, the NHGIS county code is 015, the NHGIS PUMA code is 01500"
in.county_and_puma	"G1000010, G10000200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 10, the NHGIS county code is 001, the NHGIS PUMA code is 00200"
in.county_and_puma	"G1000030, G10000101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 10, the NHGIS county code is 003, the NHGIS PUMA code is 00101"
in.county_and_puma	"G1000030, G10000102"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 10, the NHGIS county code is 003, the NHGIS PUMA code is 00102"
in.county_and_puma	"G1000030, G10000103"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 10, the NHGIS county code is 003, the NHGIS PUMA code is 00103"
in.county_and_puma	"G1000030, G10000104"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 10, the NHGIS county code is 003, the NHGIS PUMA code is 00104"
in.county_and_puma	"G1000050, G10000300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 10, the NHGIS county code is 005, the NHGIS PUMA code is 00300"
in.county_and_puma	"G1100010, G11000101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 11, the NHGIS county code is 001, the NHGIS PUMA code is 00101"
in.county_and_puma	"G1100010, G11000102"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 11, the NHGIS county code is 001, the NHGIS PUMA code is 00102"
in.county_and_puma	"G1100010, G11000103"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 11, the NHGIS county code is 001, the NHGIS PUMA code is 00103"
in.county_and_puma	"G1100010, G11000104"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 11, the NHGIS county code is 001, the NHGIS PUMA code is 00104"
in.county_and_puma	"G1100010, G11000105"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 11, the NHGIS county code is 001, the NHGIS PUMA code is 00105"
in.county_and_puma	"G1200010, G12000101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 001, the NHGIS PUMA code is 00101"
in.county_and_puma	"G1200010, G12000102"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 001, the NHGIS PUMA code is 00102"
in.county_and_puma	"G1200030, G12008900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 003, the NHGIS PUMA code is 08900"
in.county_and_puma	"G1200050, G12000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 005, the NHGIS PUMA code is 00500"
in.county_and_puma	"G1200070, G12002300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 007, the NHGIS PUMA code is 02300"
in.county_and_puma	"G1200090, G12000901"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 009, the NHGIS PUMA code is 00901"
in.county_and_puma	"G1200090, G12000902"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 009, the NHGIS PUMA code is 00902"
in.county_and_puma	"G1200090, G12000903"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 009, the NHGIS PUMA code is 00903"
in.county_and_puma	"G1200090, G12000904"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 009, the NHGIS PUMA code is 00904"
in.county_and_puma	"G1200110, G12001101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 011, the NHGIS PUMA code is 01101"
in.county_and_puma	"G1200110, G12001102"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 011, the NHGIS PUMA code is 01102"
in.county_and_puma	"G1200110, G12001103"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 011, the NHGIS PUMA code is 01103"
in.county_and_puma	"G1200110, G12001104"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 011, the NHGIS PUMA code is 01104"
in.county_and_puma	"G1200110, G12001105"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 011, the NHGIS PUMA code is 01105"
in.county_and_puma	"G1200110, G12001106"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 011, the NHGIS PUMA code is 01106"
in.county_and_puma	"G1200110, G12001107"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 011, the NHGIS PUMA code is 01107"
in.county_and_puma	"G1200110, G12001108"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 011, the NHGIS PUMA code is 01108"
in.county_and_puma	"G1200110, G12001109"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 011, the NHGIS PUMA code is 01109"
in.county_and_puma	"G1200110, G12001110"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 011, the NHGIS PUMA code is 01110"
in.county_and_puma	"G1200110, G12001111"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 011, the NHGIS PUMA code is 01111"
in.county_and_puma	"G1200110, G12001112"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 011, the NHGIS PUMA code is 01112"
in.county_and_puma	"G1200110, G12001113"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 011, the NHGIS PUMA code is 01113"
in.county_and_puma	"G1200110, G12001114"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 011, the NHGIS PUMA code is 01114"
in.county_and_puma	"G1200130, G12006300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 013, the NHGIS PUMA code is 06300"
in.county_and_puma	"G1200150, G12001500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 015, the NHGIS PUMA code is 01500"
in.county_and_puma	"G1200170, G12001701"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 017, the NHGIS PUMA code is 01701"
in.county_and_puma	"G1200190, G12001900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 019, the NHGIS PUMA code is 01900"
in.county_and_puma	"G1200210, G12002101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 021, the NHGIS PUMA code is 02101"
in.county_and_puma	"G1200210, G12002102"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 021, the NHGIS PUMA code is 02102"
in.county_and_puma	"G1200210, G12002103"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 021, the NHGIS PUMA code is 02103"
in.county_and_puma	"G1200230, G12002300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 023, the NHGIS PUMA code is 02300"
in.county_and_puma	"G1200270, G12002700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 027, the NHGIS PUMA code is 02700"
in.county_and_puma	"G1200290, G12002300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 029, the NHGIS PUMA code is 02300"
in.county_and_puma	"G1200310, G12003101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 031, the NHGIS PUMA code is 03101"
in.county_and_puma	"G1200310, G12003102"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 031, the NHGIS PUMA code is 03102"
in.county_and_puma	"G1200310, G12003103"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 031, the NHGIS PUMA code is 03103"
in.county_and_puma	"G1200310, G12003104"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 031, the NHGIS PUMA code is 03104"
in.county_and_puma	"G1200310, G12003105"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 031, the NHGIS PUMA code is 03105"
in.county_and_puma	"G1200310, G12003106"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 031, the NHGIS PUMA code is 03106"
in.county_and_puma	"G1200310, G12003107"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 031, the NHGIS PUMA code is 03107"
in.county_and_puma	"G1200330, G12003301"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 033, the NHGIS PUMA code is 03301"
in.county_and_puma	"G1200330, G12003302"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 033, the NHGIS PUMA code is 03302"
in.county_and_puma	"G1200350, G12003500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 035, the NHGIS PUMA code is 03500"
in.county_and_puma	"G1200370, G12006300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 037, the NHGIS PUMA code is 06300"
in.county_and_puma	"G1200390, G12006300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 039, the NHGIS PUMA code is 06300"
in.county_and_puma	"G1200410, G12002300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 041, the NHGIS PUMA code is 02300"
in.county_and_puma	"G1200430, G12009300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 043, the NHGIS PUMA code is 09300"
in.county_and_puma	"G1200450, G12006300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 045, the NHGIS PUMA code is 06300"
in.county_and_puma	"G1200470, G12012100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 047, the NHGIS PUMA code is 12100"
in.county_and_puma	"G1200490, G12002700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 049, the NHGIS PUMA code is 02700"
in.county_and_puma	"G1200510, G12009300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 051, the NHGIS PUMA code is 09300"
in.county_and_puma	"G1200530, G12005301"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 053, the NHGIS PUMA code is 05301"
in.county_and_puma	"G1200550, G12002700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 055, the NHGIS PUMA code is 02700"
in.county_and_puma	"G1200550, G12009300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 055, the NHGIS PUMA code is 09300"
in.county_and_puma	"G1200570, G12005701"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 057, the NHGIS PUMA code is 05701"
in.county_and_puma	"G1200570, G12005702"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 057, the NHGIS PUMA code is 05702"
in.county_and_puma	"G1200570, G12005703"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 057, the NHGIS PUMA code is 05703"
in.county_and_puma	"G1200570, G12005704"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 057, the NHGIS PUMA code is 05704"
in.county_and_puma	"G1200570, G12005705"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 057, the NHGIS PUMA code is 05705"
in.county_and_puma	"G1200570, G12005706"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 057, the NHGIS PUMA code is 05706"
in.county_and_puma	"G1200570, G12005707"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 057, the NHGIS PUMA code is 05707"
in.county_and_puma	"G1200570, G12005708"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 057, the NHGIS PUMA code is 05708"
in.county_and_puma	"G1200590, G12000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 12, the NHGIS county code is 059, the NHGIS PUMA code is 00500"
